简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
228,周建华,男,21,15603925199,nayin4529@163.com,云计算工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,精通,了解,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
229,胥桂芳,女,22,18174926632,jingmo5634@qq.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,掌握,掌握,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
230,李建,男,22,13133138004,xiulanzou8321@yahoo.com,测试工程师,本科,普通高校,计算机类,英语四级,Java,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","熟练,掌握,熟练",NULL,NULL,NULL,0,0,0,通过
231,韦鹏,男,21,13792622132,xiulanli@163.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","精通,熟练,熟练,精通","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,掌握,掌握,熟练","Spring Boot,Django/Flask","熟练,精通",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
232,张娟,女,22,13299007686,juanfu7@yahoo.com,数据分析师,专科,普通高校,非计算机类,英语四级,"Java,SQL","掌握,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,精通",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,不通过
233,王玉,女,21,17759208814,jiewu1@outlook.com,测试工程师,专科,普通高校,计算机类,无,"Python,Go","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","熟练,熟练,掌握",NULL,NULL,NULL,0,0,0,不通过
234,霍建,男,27,18839841673,taojin78@hotmail.com,运维工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,1―3年,1,0,2,通过
235,杨林,男,21,13427500030,juanxiong66@gmail.com,数据工程师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL,Go","掌握,熟练,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,熟练,熟练",NULL,NULL,"Hadoop/Spark,Tableau/Power BI/FineBI","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
236,李亮,男,22,13240622155,fangtang9672@163.com,运维工程师,本科,211高校,非计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible","熟练,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
237,姚冬梅,女,22,18025251618,minliu75@outlook.com,前端开发工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,精通,熟练,掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
238,罗建,男,21,13448625152,junxiong@126.com,移动开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript,Go","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,掌握",NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
239,连伟,男,29,17695728575,qiangqiu5828@hotmail.com,运维工程师,专科,普通高校,非计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","掌握,精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,5,9,0,通过
240,侯飞,男,22,18992177905,leikong28@yahoo.com,云计算工程师,本科,普通高校,计算机类,英语六级,"Python,SQL","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
241,练文,男,22,15590058561,ganghu47@hotmail.com,运维工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL","掌握,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,精通,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,不通过
242,朱军,男,36,13344471893,pingbai5309@126.com,后端开发工程师,本科,普通高校,计算机类,英语四级,Java,掌握,NULL,NULL,"Spring Boot,Django/Flask,Node.js","熟练,熟练,精通","MySQL,PostgreSQL,MongoDB,Redis","掌握,精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,5,7,1,通过
243,李洋,男,22,18102826254,taotian0@163.com,前端开发工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript","熟练,熟练,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
244,郭瑜,女,31,18686163070,xiulanliu8@126.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL,Go","掌握,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,掌握",NULL,NULL,NULL,2,1,1,不通过
245,王瑜,女,22,18707443602,yonggong4@163.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,了解,精通,熟练,了解","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,了解,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
246,赵文,男,23,17762376008,juanzeng4474@gmail.com,运维工程师,本科,211高校,计算机类,英语四级,"Java,JavaScript","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,8,0,0,通过
247,李洁,女,40,18889911416,weiliao@gmail.com,云计算工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,SQL,Go","掌握,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,0,1,1,通过
248,程志强,男,22,18456999449,leizhao66@126.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,熟练,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,掌握,掌握,掌握",NULL,NULL,NULL,0,0,0,不通过
249,张芳,女,21,13507923046,xiuyingzhong001@qq.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,熟练,熟练,精通",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练","MySQL,PostgreSQL,Redis","掌握,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
250,殷文,男,22,15235861768,xiuyingkang2@163.com,运维工程师,本科,211高校,非计算机类,无,"Python,Go","掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","精通,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
251,李桂芝,女,23,15641119738,yongyi1827@qq.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,熟练,精通,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,精通,了解,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
252,刘凤,女,22,13532031978,jingzhong9901@gmail.com,运维工程师,本科,普通高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible","熟练,掌握,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
253,徐淑华,女,22,13102480855,taoxie800@qq.com,数据工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,了解,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,掌握,熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
254,萧建国,男,22,15681300416,guiyingliang1053@gmail.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,熟练,掌握,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,熟练,掌握,熟练,精通","MySQL,PostgreSQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
255,刘桂,女,22,18677205171,xiuyingsong@126.com,数据分析师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL","掌握,精通,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","掌握,熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,13,0,0,不通过
256,孙玉,女,23,18625923868,jingwei906@hotmail.com,移动开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL,Go","熟练,掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,精通",NULL,NULL,1―3年,NULL,NULL,12,0,0,不通过
257,哈淑华,女,23,18691716204,chaowei9@outlook.com,运维工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,8,0,0,通过
258,杨东,男,35,13365402599,xiuyingwu5193@hotmail.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","掌握,精通,熟练,精通",NULL,NULL,"Spring Boot,Django/Flask","熟练,精通","MySQL,PostgreSQL","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,0,0,1,通过
259,叶红霞,男,38,15122533320,minmao3@163.com,前端开发工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,精通,了解,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,熟练,了解,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,1,9,0,通过
260,陈帆,男,22,18019375919,juanlai2@126.com,移动开发工程师,专科,普通高校,非计算机类,英语四级,"Python,JavaScript,SQL","熟练,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","精通,掌握",NULL,NULL,1―3年,NULL,NULL,2,0,0,不通过
261,梁畅,女,23,18022188345,xiuyingxu1920@163.com,测试工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","掌握,掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,了解,精通",1―3年,NULL,NULL,1,0,0,通过
262,郭勇,男,23,17762472863,yangcui4201@yahoo.com,数据分析师,本科,普通高校,非计算机类,英语四级,"Python,Java,SQL","熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,精通,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,通过
263,袁宁,男,23,17760762643,juanjin5009@163.com,算法工程师,本科,211高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","了解,掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
264,黄霞,女,21,13546175518,yangjia7017@outlook.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,SQL","掌握,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,精通,了解",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
265,杨敏,女,21,15635990093,minghe814@hotmail.com,后端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript,SQL","掌握,掌握,掌握",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","掌握,精通,熟练,掌握","MySQL,MongoDB","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
266,张瑞,男,36,17822266794,guiyingqin@outlook.com,全栈开发工程师,专科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","了解,熟练,掌握,熟练","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","精通,精通,了解,精通","Spring Boot,Django/Flask,Node.js","熟练,精通,精通","MySQL,PostgreSQL,Redis","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,11,7,0,通过
267,薛玲,女,23,18149426942,gangfang@qq.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,了解,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,通过
268,卓兰英,女,31,13764928150,yongdong7@yahoo.com,后端开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,Go","掌握,熟练,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API","熟练,精通,熟练","PostgreSQL,MongoDB","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,5年以上,14,0,0,通过
269,刘刚,男,28,18624587012,yankang@hotmail.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,掌握",5年以上,NULL,5年以上,15,0,1,通过
270,王秀华,女,28,15585466232,chaozou6@gmail.com,数据工程师,本科,普通高校,计算机类,英语四级,"Java,SQL","熟练,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","精通,精通,掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","掌握,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,6,0,0,通过
271,郑建华,男,40,15730491341,guiyingli@qq.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,精通,了解,熟练,了解",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,熟练,熟练,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,掌握,精通",NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,0,1,0,通过
272,任晨,男,23,18061007773,qiangwen1@126.com,全栈开发工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,掌握,熟练,熟练,了解","HTML/CSS,React/Vue,Webpack","熟练,掌握,熟练","Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,掌握,精通,掌握,精通",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,通过
273,周涛,男,21,13055811574,taoyin96@hotmail.com,运维工程师,专科,普通高校,非计算机类,英语四级,"Python,SQL","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
274,阮晨,男,23,18193335623,weifeng@qq.com,算法工程师,本科,211高校,计算机类,英语四级,"Python,Java,SQL","掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,不通过
275,彭建军,男,22,18544708231,pingxue146@hotmail.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,了解,熟练","HTML/CSS,React/Vue","熟练,熟练","Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","掌握,熟练,精通,熟练",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
276,李明,男,22,13591203025,yongshao0@outlook.com,移动开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,Go","掌握,熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,熟练",NULL,NULL,NULL,NULL,NULL,0,0,0,通过
277,陈凯,男,22,13779705660,yansong6@gmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,Java,SQL","熟练,精通,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,精通,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,掌握,了解,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,通过
278,王桂香,女,23,18898664693,pingzhao561@outlook.com,云计算工程师,本科,211高校,计算机类,英语四级,"Python,Java,SQL,Go","掌握,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,不通过
279,朱燕,女,39,17619982907,pingmo51@163.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","掌握,了解,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,了解,熟练,精通",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,13,5,1,通过
280,管秀兰,女,23,13062003638,juanqian64@126.com,数据分析师,本科,211高校,非计算机类,英语四级,"Python,SQL,Go","精通,掌握,了解",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,精通,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
281,刘东,男,22,18074225678,weigao188@outlook.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,精通,熟练,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,精通,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
282,李兰,女,23,18155575124,leiliang640@gmail.com,数据分析师,本科,211高校,计算机类,无,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","精通,熟练,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
283,常健,男,23,15049096197,gangcai7972@yahoo.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,熟练,熟练",1―3年,NULL,NULL,1,0,0,不通过
284,潘娟,女,22,15682308829,gangxu86@hotmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,掌握,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,熟练,掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
285,邵萍,女,23,15179006548,mingtang084@yahoo.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,精通,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
286,陈秀芳,女,23,13329886182,jiesun@hotmail.com,数据分析师,本科,211高校,非计算机类,英语四级,"Python,Java,SQL,Go","精通,精通,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,通过
287,杨欣,女,21,17738444045,mingma8311@163.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","熟练,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
288,张红,女,27,17730291585,minlu23@qq.com,前端开发工程师,本科,普通高校,非计算机类,无,"Java,JavaScript","掌握,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,1―3年,0,8,2,通过
289,费洋,男,34,13865099621,yongzou3667@126.com,前端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,掌握,熟练,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,熟练,熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,0,0,0,通过
290,彭龙,男,37,18695592277,minduan414@outlook.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","熟练,精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,4,1,0,通过
291,易平,男,40,13301873143,jingxue1511@163.com,算法工程师,专科,普通高校,非计算机类,无,"Python,Java,SQL","熟练,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,掌握",NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,9,9,0,通过
